phone_no_m,opposite_count,opposite_unique,voccalltype1,imeis,voc_calltype1,city_name_call,county_name_call,phone2opposite_mean,phone2opposite_median,phone2opposite_max,phone2oppo_sum_mean,phone2oppo_sum_median,phone2oppo_sum_max,call_dur_mean,call_dur_median,call_dur_max,call_dur_min,city_name_nunique,county_name_nunique,calltype_id_unique,voc_hour_mode,voc_hour_mode_count,voc_hour_nunique,voc_day_mode,voc_day_mode_count,voc_day_nunique,sms_count,sms_nunique,sms_rate,calltype_2,calltype_rate,hour_mode,hour_mode_count,hour_nunique,day_mode,day_mode_count,day_nunique,busi_count,flow_mean,flow_median,flow_min,flow_max,flow_var,flow_sum,month_ids,flow_month,arpu_mean,arpu_var,arpu_max,arpu_min,arpu_median,arpu_sum,arpu_skew,arpu_sem,arpu_quantile,label
4a3fe69177d1db33296ead78bc2eb3410f458f51ceea9c26ad5c7baf10e07e5f0ad6795b98145306d9844f93d4a239bb054ebc20905d55880ea5fdc19331c2da,503,53,144,1,0.286282306,1,1,9.490566038,2,91,1024.584906,155,24856,107.9582505,34,2743,1,2,4,2,13,48,18,15,26,31,1059,103,10.2815534,1059,1,9,169,22,12,70,31,100,2.315915502,0.037573814,7.44E-05,108.3154325,86.71238485,537.2923965,8,67.16154957,1.2675,0.055421429,1.84,1.16,1.16,10.14,2.647151605,0.083232677,1.16,0
1708e1c2c7e6e3ba949421eede6d80cf77fb12b692a7514a988cd74ad89d963f0c129dfc0db43c5c8fba6b6122c12a3e7e6dc4930686d39b60a1ecd16afa6cda,526,108,257,1,0.488593156,2,3,4.87037037,1.5,75,373.5,73,6361,76.68821293,32,3426,1,2,5,2,15,57,22,3,42,31,1447,219,6.607305936,1428,0.986869385,15,145,24,12,130,31,230,54.24473156,0.133060455,9.16E-05,9222.009457,247993.8282,50501.84508,8,6312.730635,84.86125,113.9993268,102.2,78.78,79.19,678.89,1.435263044,3.774906071,79.19,0
1de2d338adcd6a255a17141ba1c663fbc8071f2ed756a248d6f1d77f44f6d841a68cae430cf13f09bc447e97416b9cee313fe305742d0913a912da426593108c,47,21,33,2,0.70212766,3,4,2.238095238,2,7,110,93,398,49.14893617,24,218,6,3,4,2,13,7,14,23,6,23,867,93,9.322580645,866,0.998846597,11,138,18,15,63,31,95,8.436186125,0.076436996,8.77E-05,314.9302607,1354.340093,1425.715455,2,712.8577275,19,0,19,19,19,152,0,0,19,0
b16920c8dfc8a0e1349db12d2d3285f77e31c6a6d3ed2a68725f41e628c0f98d5ce55bb71ca33e3bc52acbfaf946cd2bdae06142413dece51698d1a3444d2935,346,91,98,1,0.283236994,2,3,3.802197802,1,132,294.4285714,69,5195,77.43641618,35,1440,1,2,4,2,11,49,17,13,28,31,701,206,3.402912621,695,0.991440799,10,105,23,27,41,31,143,15.07484326,0.154790878,0.000507355,1313.743294,7054.629685,4748.575626,4,1187.143907,1.6225,0.992691667,3.09,1,1.2,6.49,1.797592307,0.498169566,1.2,0
7edc0ed9e4afb9648b18ae4517516ed1c641103c2f83dd3d4d75f56c9c01bd0e46bf26962bc343453579d1a858a4471ab7b864a81f33b0edb1cd558c34f79205,373,36,163,1,0.436997319,1,1,10.36111111,1,146,784.2222222,103.5,9953,75.68900804,47,787,1,1,1,2,19,40,21,25,19,31,369,17,21.70588235,369,1,12,64,15,15,30,30,3,0.036044439,0.012840271,0.00012207,0.11237812,0.001682492,0.54066658,8,0.067583323,48,0,48,48,48,384,0,0,48,0
73e9ee7e186d0483f568bc1227cfc407fb5548a441dc1943841c723faded61e1f9522da24287b565e1472002308fb8f0db9c5bfa67f4e1e0b48210c3da018629,2295,337,1499,2,0.653159041,2,5,6.810089021,2,423,437.2344214,107,27119,64.20392157,29,3425,1,2,7,2,18,199,24,2,118,31,1587,444,3.574324324,1375,0.866414619,10,125,23,28,111,31,321,50.23259937,0.274114132,6.77E-05,8203.358752,136942.4772,54351.67252,6,9058.612087,103.4525,1800.557221,181.64,54.5,110.155,827.62,0.582416451,15.00232158,110.155,1
afb879635550e8c192c9507e5481faa3e32b440a1809eb98dd6940ec675a5098225f834d1d08262ee0a00b3bf97b8b75fb620eb0c136228b3e3405173fe43fa1,812,97,812,1,1,3,11,8.371134021,2,76,635.5773196,153,13167,75.92487685,43,1369,2,3,11,1,8,113,20,30,47,31,1546,267,5.790262172,1527,0.98771022,11,156,22,7,102,31,55,0.805914564,0.024415016,7.25E-05,26.00844002,8.726656063,92.68017483,5,18.53603497,48.32,3.626285714,52.62,47,47.45,386.56,2.021553684,0.673264966,47.45,0
d374d619082ea422e8e99bb417beb4e860e49c3628bde9efccf8246dc977a010fce803d5c351dea47392f94d770f11c4ec40c34459f553ac161b78d7304fb1b2,1425,279,382,2,0.268070175,5,13,5.107526882,1,177,276.702509,74,9203,54.1754386,32,1814,1,6,22,2,17,116,21,23,87,31,3293,511,6.444227006,3273,0.993926511,9,359,24,25,179,31,31,0.8998195,0.026103973,7.44E-05,13.94020462,6.878050158,47.6904335,8,5.961304188,79.26,0.035657143,79.5,79,79.25,634.08,0.036662822,0.066761837,79.25,0
9f5a6e330a5a45c879f6f6065d9a2e73d0053c425cd5b2b9ee0ac292ec40aef23e29b2d7f01207e44eceb0db0d4feb00559c67a7673637bfb5f7d9d49f9cbe4a,164,56,152,3,0.926829268,5,9,2.928571429,2,16,410.3214286,145,4525,140.1097561,76.5,3426,1,5,9,2,13,30,19,21,32,27,3789,719,5.269819193,3675,0.969912906,10,423,24,8,219,31,396,26.56030796,0.242326736,0.000148773,5489.301569,44646.09477,43399.54321,8,5424.942902,117.12625,9.136741071,122.56,115.02,115.675,937.01,1.45381699,1.068687342,115.675,1
6988a9ed8a63aa4b3c6945f625e3f9d0be3a376585d3e2f4e05c28e01a387161be31cd54d38e269780bf4b633ecc64f505cce2db6fb32a1a2bcb3d1943ab3897,1865,165,1071,10,0.574262735,3,8,11.3030303,2,152,775.8969697,137,19036,68.64504021,35,1705,1,3,9,3,19,200,22,18,107,31,1320,257,5.13618677,1293,0.979545455,21,136,22,8,75,31,240,56.0820537,0.190358162,6.77E-05,12443.89186,231526.2203,49296.1252,5,9859.22504,102.575,708.0932286,159.66,82.09,92.71,820.6,1.652047037,9.408063221,92.71,0
c32f698c84a8ad2964b8b76c526d6c08ec5db44ff1d2e4394e19bb292f45aeaa216e006a3bafba99f86b7c69058d6c45d8cc7588ff5244bf149fa8bf4e5f1b77,100,76,94,7,0.94,1,2,1.315789474,1,12,172.8026316,84.5,1357,131.33,70,1088,6,1,2,2,10,27,11,11,39,10,94,21,4.476190476,93,0.989361702,16,19,12,25,24,9,27,0.295649022,0.058030128,0.002875328,2.099108696,0.286047957,9.4607687,2,4.73038435,22.45,258.9237,57.01,5.14,19,157.15,2.009772225,6.08186649,19,1
8b9179c987165956a6221eaf4c738182f59a07a13ccf4b3957e1ef2f5633ac1325efa9aeb94a1fa1d6e87ba854e13f994a15af06f8698d8f2a8b0adb1df4f53c,366,345,352,26,0.961748634,0,0,1.060869565,1,3,135.915942,43,2559,128.1174863,41,1800,1,0,0,2,10,57,10,8,79,7,227,6,37.83333333,184,0.810572687,8,51,10,13,41,8,0,0,0,0,0,,0,0,,196.41,,196.41,196.41,196.41,196.41,,,196.41,1
168aa25a3c9d315165077fe4ce43cf809416bc7d075c34513c7c03d1356f6d9dd54103ed93ce05ebae0de6bff237e1ec945d250aa17823ed828e890e2ce615e1,62,24,47,2,0.758064516,1,1,2.583333333,1,20,172.7083333,27.5,1212,66.85483871,24,1212,1,1,1,2,17,12,15,22,7,25,794,81,9.802469136,744,0.937027708,8,167,22,1,76,31,598,102.1572871,0.37980175,0.000144005,12572.54159,512438.1482,170704.8268,5,34140.96536,25,112,29,1,29,175,-2.645751311,4,29,0
5f16fe8f53b70292de45477651ae40457d9e251b2812b934a44ac6e75786442078bbc5e521ee9d2c4589b21ab0c0e75e123f36b794d5f17e65fb6841a4eb7fb5,518,53,286,4,0.552123552,6,7,9.773584906,1,153,1030.396226,101,14659,105.4266409,38,2565,1,8,12,2,10,50,20,23,46,31,664,124,5.35483871,618,0.930722892,11,82,21,16,55,31,262,95.37283205,0.122216225,5.82E-05,16061.43747,678461.9974,73818.57201,8,9227.321501,169.8,3.454285714,174.3,169,169,1358.4,2.613247946,0.657104036,169,0
becad33ef685aa51b1c6ead188193059f7bb2008c074fc77fc8619355e0bfff502b64569c660d78bf0ca4c4d843b1b68b8275a64856fd983ed47d741225a83bd,47,16,47,1,1,1,2,2.9375,1,19,213.375,63.5,1162,72.63829787,37,801,7,1,2,1,11,7,15,11,7,24,467,12,38.91666667,467,1,11,74,16,11,51,31,82,20.92226719,0.234784126,0.001131058,488.9833059,6045.753322,1820.237246,2,910.1186228,1.0125,0.00125,1.1,1,1,8.1,2.828427125,0.0125,1,0
928df9be4c3e7304c83736a39aa81fa9fe3a1c76e01710e6581b0277ebced37390ce2472560921e7d62b2289eba6fb14eaaf9eff1a095dbcc2e872db6826650e,9446,9426,9446,2,1,1,1,1.002121791,1,2,29.24877997,17,605,29.18685158,17,605,1,1,1,1,14,1471,13,21,415,31,596,51,11.68627451,589,0.988255034,11,112,16,26,76,31,29,3.071855754,0.013552666,0.000144005,95.73608589,285.9672063,98.29938412,2,49.14969206,54.17833333,145.4968167,59.9,29.57,58.9,325.07,-2.443349188,4.924375031,58.9,1
51fe5bf2476c2fc6903fc45bcec063ec8a16adda2b738dd620f062287d91b234abbbf3e68e01e9c63de97bd38bbf041a5571dbac501834012d4d529c6560d86a,373,21,315,1,0.844504021,1,2,17.76190476,4,98,2641.380952,307,14996,148.7104558,59,2007,1,1,2,3,12,39,19,24,30,31,973,33,29.48484848,973,1,9,200,18,7,77,31,48,0.145559594,0.010786057,7.44E-05,5.198587418,0.29432614,27.94744205,8,3.493430257,35.3375,79.12267857,50.8,26.4,32.3,282.7,0.769563053,3.144890272,32.3,0
a7aa19e6e8ea1ccf49dae947a55a85d3001fb347ecb79588fa54410402e2660423fd7f28b14303110f2051e36d84943029d4178899ad53df185b6e8121c98956,1702,424,620,2,0.364277321,1,2,4.014150943,2,57,258.5,101,4503,64.39717979,40,1284,1,1,3,2,9,190,22,12,87,31,1878,197,9.532994924,1831,0.974973376,17,586,24,15,115,31,61,1.365045476,0.038446903,0.000114441,67.91132069,56.07047745,199.2966394,8,24.91207993,47.35625,18.88188393,54.28,43.5,45.21,378.85,0.85518235,1.536305793,45.21,0
433bbcfb740f49bbe2392c84158445bd7648367d8ad05180cd55f8236dadf9c80ac7f27f037fc88507d00abad2604c60ef761566e6035c8f24ef4972fff2211f,119,49,13,1,0.109243697,1,1,2.428571429,1,48,123.8163265,23,4069,50.98319328,30,419,7,1,1,2,10,16,15,13,9,31,631,29,21.75862069,622,0.985736926,9,129,16,9,70,31,2,0.024411774,0.020736694,0.00012207,0.058990479,0.000413443,0.366176605,8,0.045772076,13.0675,12.38365,21,11,11.18,104.54,2.03699323,1.244168899,11.18,0
0dfe7b8fe532ae4b85f64ef11aa478e2abae8d0c92d8118f0169c43600dc7d6af517139f1b8c5305ad5ba7b14d03812a910962649881d3be1af39434f350f6eb,265,247,265,2,1,0,0,1.072874494,1,3,243.9230769,52,5209,227.354717,55,1800,1,0,0,1,13,58,11,9,114,3,66,5,13.2,64,0.96969697,16,16,10,10,25,5,17,6.502590832,0.020036697,0.002127647,119.0260191,742.8426487,123.5492258,1,123.5492258,230.04,,230.04,230.04,230.04,230.04,,,230.04,1
0708b0ebd50a7eefd2040b84c4a20c10531d088bdc8eef5f8a59af927217c68232b6b98670250927610fb56e3f3e91f25f07bfb4b8b00e52788766eda944e03e,1351,131,647,1,0.478904515,9,21,10.3129771,2,189,938.8931298,141,20506,91.03997039,42,3371,1,11,33,2,10,137,24,19,76,31,1028,97,10.59793814,1020,0.992217899,11,115,20,15,64,31,297,99.53680751,0.128568172,7.63E-05,19239.38012,979879.9436,163240.3643,8,20405.04554,199.5625,118.9054786,208.81,174.43,201.715,1596.5,-2.111337859,3.855280122,201.715,0
327135277270d460b7664eb975452b646630adda11cc27ce0804a7ce8b513ed6f7853a9c8c4273b319794b95413ebab24ba494055a4e6bdc75ba82cd109e6436,481,160,147,1,0.305613306,2,5,3.00625,1,93,244.8,20,11013,81.43035343,36,3235,1,3,11,2,22,69,20,2,48,31,1608,405,3.97037037,1601,0.995646766,12,176,22,11,84,31,474,87.1558556,0.311614037,7.44E-05,13760.9188,309073.8816,152871.3707,8,19108.92134,72.4875,0.50125,73,71.6,73,579.9,-0.651276407,0.250312305,73,0
bdfc6bac42ddb200415f38f5b53401fc3ea134f0ec5cfe67fc2e6c23f13fd7795cc800b8fba90cc7c06a458c5afe2d578a76dbd4168b00e5472f854d66bed284,561,39,183,1,0.326203209,1,1,14.38461538,2,159,2529.153846,126,50507,175.8235294,51,1800,1,1,1,2,12,82,18,20,31,31,521,34,15.32352941,521,1,16,59,19,13,55,31,2,0.013450305,0.011678696,0.002746582,0.023763657,6.72E-05,0.080701828,4,0.020175457,5,0,5,5,5,40,0,0,5,0
337adca02abb4e2b17d9706912658a9b1d782099d3f85ccb917082c0eaed84de4edb025f53aa2ef8417f178a569ac2e9ee9ce8658f7365dee998041f9e14cc7c,1097,103,701,3,0.639015497,3,4,10.65048544,2,262,664.7572816,122,11266,62.41567912,34,1772,1,3,5,2,18,92,24,15,72,31,1058,78,13.56410256,1058,1,9,126,20,10,58,31,234,87.94396183,0.233738899,7.44E-05,8346.131248,406000.4451,56460.02349,4,14115.00587,120.92875,20.46778393,131.02,117.64,119.305,967.43,2.000058529,1.599522739,119.305,0
f844226258c3cfa19969797e3e183a4cc15c29a17eab96bfd1f2e87e383eeda8b560dbf582fd304a73e7eadede7ec762eb264aa6df42080376d348bdfaeac934,33,17,31,12,0.939393939,1,3,1.941176471,1,7,358.4705882,181,1237,184.6666667,52,1237,1,1,3,2,13,7,10,10,13,10,285,25,11.4,254,0.89122807,16,53,16,9,71,15,46,0.188956392,0.017096519,0.00043869,3.089190483,0.28929377,10.95947075,2,5.479735374,105.604,37186.73193,450.44,11.09,23.5,528.02,2.232020578,86.24005094,23.5,1
c8e86aa23e02cbecfd5fe9187f7a25c3e7f9d662a429ed17bcd5db1cbce7fddac6922964415a96e14cc10fbaadf539a5b8605bbd9b687ff06cb797e50a9436d2,100,84,100,4,1,1,2,1.19047619,1,6,283.1309524,63.5,7200,237.83,58,1800,4,1,2,1,16,23,12,29,48,6,7491,7239,1.034811438,2654,0.354291817,14,979,13,20,7453,7,21,7.165055795,0.018549919,0.002654076,155.3973284,1096.204766,157.6312275,1,157.6312275,286.2933333,159417.3969,745.26,19,94.62,858.88,1.662416771,230.5192667,94.62,1
9c3bfd848bfb72073cc7df767c29685d96aa3c8ffb456cf7b2efa129620ac95ed46a3da487c6f67c6a84b8b7ac25c1e440affc941a173c926a9c94573769fd14,244,47,162,1,0.663934426,1,6,5.191489362,1,62,398.7021277,58,3154,76.79918033,25,3154,4,1,7,2,17,31,16,6,19,30,532,69,7.710144928,525,0.986842105,11,110,21,13,54,31,180,22.88740979,0.136077881,0.000182152,3830.529434,31176.95441,17463.09367,8,2182.886708,31.0325,73.56845,52.26,28,28,248.26,2.828427125,3.0325,28,0
2303b7c370a7a60d5f0e113dd0fa15b16d2acd01f9aab092151d4ba158a14e87fdeb7bee2ef7f0e64388d3ec013ba807493489584d1b4b37b664a5cb83df0ffb,543,274,222,2,0.408839779,1,8,1.981751825,1,40,87.4270073,28,3244,44.1160221,21,2038,1,1,8,2,18,65,22,11,36,31,4791,1230,3.895121951,4708,0.982675851,10,516,24,29,265,31,554,99.79701346,0.35076046,0.000105858,10943.6584,456366.2645,211370.0745,8,26421.25931,102.4,0.354285714,103.4,102,102,819.2,1.083905653,0.210441712,102,1
09bf4bae88366e9cef06567ee5d5ef62ebc59da995bce77e5bdc381c2c4d4cf804bfff26641c034e3b965a13988f2f566110fcbd9149558819ff16dc2fc07908,442,33,234,2,0.529411765,4,4,13.39393939,4,236,777.6969697,261,11549,58.06334842,42,365,1,4,4,2,9,50,20,1,32,31,1988,77,25.81818182,1966,0.988933602,17,470,24,16,106,31,314,34.96553164,0.161521435,7.44E-05,6612.389239,90336.94723,41678.91372,8,5209.864214,61.2625,0.036964286,61.5,61,61.25,490.1,0.067842565,0.067974523,61.25,0
65cffa7e3a8bf03ef12e5a1b6a97b9e6c685c7fa417e38931e92218736d38e82ae18019c8522afe44e4794d979096429fe5c73d32167e76d592230ac577784ea,4313,226,2223,1,0.515418502,4,12,19.0840708,2,391,1407.960177,91,65030,73.77672154,36,2077,1,4,17,2,8,467,18,8,216,31,1385,217,6.382488479,1331,0.96101083,10,173,21,6,86,31,274,45.21739995,0.25226593,6.77E-05,10821.34453,164281.7466,64344.36013,8,8043.045016,136.78375,2035.383913,233.8,106.1,112.89,1094.27,1.700259972,15.95064228,112.89,0
6483e27cf219ce1ad8c8877471b79cbf76ac8cc92f1743629d51c9856ec06881e703a12645e36a151a063510fce895594cd85a69bb175698f6f961ef6b3d2b05,594,271,272,1,0.457912458,1,7,2.191881919,1,119,172.8154982,29,9745,78.84343434,31.5,3420,1,1,9,2,17,62,20,23,33,31,3710,518,7.162162162,3696,0.996226415,17,396,24,6,161,31,433,33.11323664,0.189593315,7.44E-05,4249.098291,44922.58668,78412.14437,8,9801.518047,14.1375,0.03125,14.4,14,14.05,113.1,0.895399215,0.0625,14.05,0
5bad86c505fa1165d8863be830c743570bf2cd6dbf4a5941f1bfc1850205c0906d519b3c18c2fc13247d851d3ed255b70aa9ef366f0c73f4f457d0b700e2d072,145,131,129,1,0.889655172,0,0,1.106870229,1,3,69.78625954,32,1061,63.04827586,29,1061,1,0,0,2,15,29,11,15,140,4,130,26,5,110,0.846153846,0,28,20,15,65,10,0,0,0,0,0,,0,0,,13.0125,967.6869643,90,2,2,104.1,2.828419971,10.99822124,2,1
10eeaa0f0c193824abaf0269ebcf3eaffcc1b83657715325cfbe9ceae27e839779d57eb41e7d0116ba4973144b20dbc0928687b37bb96931a9756142dc63afd1,1340,153,558,2,0.41641791,2,6,8.758169935,2,152,1048.581699,206,17958,119.7261194,52,2357,1,2,7,2,10,132,20,4,64,31,1269,219,5.794520548,1262,0.994483846,10,166,23,16,84,31,172,25.44662433,0.158434868,7.44E-05,2772.596742,36221.51086,17278.25792,8,2159.78224,8.7425,114.14105,34.54,4,4.105,69.94,2.589240953,3.777251812,4.105,0
b14d9ddf92d9ce73bcd974a58e0efecd2012bfe87f8836a9241c4143bd650e657505007735f099a3fe0965ef282854263695acc8f1e66a5586dbf0334c6f5d1a,663,44,235,1,0.354449472,1,3,15.06818182,3,133,2456.022727,367.5,24283,162.9939668,60,1917,1,1,3,2,9,72,18,16,37,31,667,32,20.84375,667,1,9,123,18,13,68,31,0,0,0,0,0,,0,0,,35.60375,79.69825536,52.14,25.22,35.51,284.83,0.662335848,3.156308274,35.51,0
04f29ed2cb3114ab3315155040b1ad0d76566b59c14fdccba1d275daf6f7b5c873ceb926bd0d401cc0b9c678ff56b6628d6c61af1c8ad65bc66f2288b61549eb,336,53,202,1,0.601190476,1,2,6.339622642,1,83,632.8867925,114,9755,99.83035714,54,1299,1,1,2,2,9,53,16,1,34,31,634,39,16.25641026,634,1,14,77,22,11,52,31,45,0.637706668,0.021292686,7.44E-05,20.0712471,6.50582017,61.85754681,8,7.732193351,4.53625,2.297283929,7.37,2.46,4.095,36.29,0.775956083,0.535873578,4.095,0
4a50a082ead1c5691e8c44b2a74a59042798c616d2c8987e265dce1052f0a2f362dd863e755ee495ff92235b593e88d7eabab0b9ebfde1db765275666ad13d6c,1149,210,440,1,0.382941688,1,7,5.471428571,1,335,219.8571429,22,10277,40.18276762,25,1222,2,1,8,2,18,162,21,24,55,31,1598,351,4.552706553,1595,0.998122653,10,195,21,10,89,31,287,23.75336582,0.171834946,7.44E-05,5047.971968,40512.74729,34561.14727,8,4320.143409,1,0,1,1,1,8,0,0,1,0
da99c3ade3eb00815a7654acc8e03329d75973ac5e2064e36adc45322b4064d5f7f01aedc2aaeff1288a6f7db04ad890f96bdd8346c3e0a8f41711a4077018f0,25,11,25,2,1,1,1,2.272727273,1,10,141.1818182,58,774,62.12,50,186,10,1,1,1,8,10,4,12,24,2,28,6,4.666666667,15,0.535714286,9,16,4,12,13,3,8,0.257113457,0.007918358,0.001169205,2.034632683,0.448888578,2.314021111,1,2.314021111,8,98,15,1,8,16,,7,8,1
95ca76270ec248574d2d0669bc0fce822762186d051f3a58d8312f950742c3642fbb87619a3dd95c1f6b4a13e5e3c848ee4ee307c55bafb37635d8abffcaf09b,192,150,192,2,1,0,0,1.28,1,12,61.04666667,27,974,47.69270833,31.5,295,2,0,0,1,15,39,8,17,149,2,58,10,5.8,55,0.948275862,12,25,7,13,33,4,37,0.969950801,0.031354427,0.000117302,20.25405025,11.39996249,36.85813046,1,36.85813046,54.77,,54.77,54.77,54.77,54.77,,,54.77,1
241be67e13e2ac318e7080f87345ced8bd7b371f88f648e1fb16eeb0d0727903699b47cea6810b99d7af3abef195b32275d03eaf6749e4fcfa0f180a050f624c,547,75,224,1,0.409506399,1,4,7.293333333,1,187,510.9866667,80,10569,70.06215722,51,614,1,2,5,2,11,65,16,5,30,31,1296,312,4.153846154,1245,0.960648148,10,155,23,15,68,31,277,27.47552302,0.256341934,8.96E-05,2004.99026,21458.02521,33602.56465,8,4200.320581,61.0175,4.462764286,63.7,59.1,59.935,488.14,0.565133573,0.746890578,59.935,0
